Date : 2026-07-16 23:17:07
Directory : c:\Users\chris\Desktop\dandilion
Total : 239 files,  33779 codes, 1066 comments, 6211 blanks, all 41056 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     10,944 |          0 |          9 |     10,953 |
| TypeScript         |        145 |     10,697 |        846 |      1,328 |     12,871 |
| TypeScript JSX     |         59 |      6,588 |        162 |        498 |      7,248 |
| Skill              |         11 |      3,737 |          0 |      3,583 |      7,320 |
| Markdown           |         12 |      1,414 |          0 |        746 |      2,160 |
| PostCSS            |          1 |        244 |         39 |         33 |        316 |
| JavaScript         |          1 |         64 |         11 |          2 |         77 |
| YAML               |          1 |         40 |          3 |          9 |         52 |
| JSON with Comments |          2 |         35 |          0 |          2 |         37 |
| HTML               |          1 |         16 |          5 |          1 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        239 |     33,779 |      1,066 |      6,211 |     41,056 |
| . (Files)                                                                              |         16 |     11,999 |         26 |        540 |     12,565 |
| .claude                                                                                |         15 |      3,909 |          0 |      3,666 |      7,575 |
| .claude (Files)                                                                        |          1 |         26 |          0 |          1 |         27 |
| .claude\rules                                                                          |          3 |        146 |          0 |         82 |        228 |
| .claude\skills                                                                         |         11 |      3,737 |          0 |      3,583 |      7,320 |
| .claude\skills\architecture                                                            |          1 |        304 |          0 |        292 |        596 |
| .claude\skills\browser-internals                                                       |          1 |        380 |          0 |        376 |        756 |
| .claude\skills\debugging                                                               |          1 |        322 |          0 |        313 |        635 |
| .claude\skills\electron                                                                |          1 |        341 |          0 |        309 |        650 |
| .claude\skills\performance                                                             |          1 |        322 |          0 |        305 |        627 |
| .claude\skills\review                                                                  |          1 |        347 |          0 |        336 |        683 |
| .claude\skills\security                                                                |          1 |        380 |          0 |        368 |        748 |
| .claude\skills\state-management                                                        |          1 |        285 |          0 |        279 |        564 |
| .claude\skills\testing                                                                 |          1 |        286 |          0 |        282 |        568 |
| .claude\skills\ui                                                                      |          1 |        431 |          0 |        388 |        819 |
| .claude\skills\ui-polish                                                               |          1 |        339 |          0 |        335 |        674 |
| Work                                                                                   |          2 |        153 |          0 |         74 |        227 |
| docs                                                                                   |          3 |        289 |          0 |         79 |        368 |
| src                                                                                    |        190 |     16,914 |      1,014 |      1,754 |     19,682 |
| src\main                                                                               |         63 |      6,275 |        343 |        754 |      7,372 |
| src\main (Files)                                                                       |          1 |         45 |          0 |         13 |         58 |
| src\main\app                                                                           |          4 |        409 |         30 |         36 |        475 |
| src\main\browser                                                                       |          4 |      1,175 |         90 |        155 |      1,420 |
| src\main\core                                                                          |          4 |         90 |         20 |         22 |        132 |
| src\main\ipc                                                                           |         13 |        818 |         11 |         63 |        892 |
| src\main\ipc (Files)                                                                   |          3 |        109 |         10 |         16 |        135 |
| src\main\ipc\routers                                                                   |         10 |        709 |          1 |         47 |        757 |
| src\main\services                                                                      |         19 |      2,232 |        159 |        286 |      2,677 |
| src\main\services (Files)                                                              |         13 |      1,554 |        112 |        213 |      1,879 |
| src\main\services\ai                                                                   |          3 |        398 |         21 |         36 |        455 |
| src\main\services\privacy                                                              |          3 |        280 |         26 |         37 |        343 |
| src\main\storage                                                                       |         18 |      1,506 |         33 |        179 |      1,718 |
| src\main\storage (Files)                                                               |          2 |         58 |          7 |         13 |         78 |
| src\main\storage\migrations                                                            |          2 |        195 |          6 |          5 |        206 |
| src\main\storage\repositories                                                          |         14 |      1,253 |         20 |        161 |      1,434 |
| src\preload                                                                            |          1 |         33 |          5 |          4 |         42 |
| src\renderer                                                                           |         79 |      7,890 |        324 |        668 |      8,882 |
| src\renderer (Files)                                                                   |          4 |         61 |          7 |         10 |         78 |
| src\renderer\components                                                                |         44 |      3,534 |        117 |        294 |      3,945 |
| src\renderer\components\ai                                                             |          1 |        171 |          0 |         17 |        188 |
| src\renderer\components\brand                                                          |          1 |         43 |          7 |          5 |         55 |
| src\renderer\components\chrome                                                         |         19 |      1,977 |         47 |        153 |      2,177 |
| src\renderer\components\omnibox                                                        |          1 |        243 |          2 |         14 |        259 |
| src\renderer\components\palette                                                        |          1 |        117 |          2 |         10 |        129 |
| src\renderer\components\reader                                                         |          1 |        121 |          1 |          6 |        128 |
| src\renderer\components\sessions                                                       |          1 |        135 |          1 |         11 |        147 |
| src\renderer\components\ui                                                             |         19 |        727 |         57 |         78 |        862 |
| src\renderer\hooks                                                                     |          2 |         77 |          9 |         14 |        100 |
| src\renderer\lib                                                                       |          8 |        442 |         45 |         49 |        536 |
| src\renderer\lib (Files)                                                               |          6 |        406 |         32 |         42 |        480 |
| src\renderer\lib\trpc                                                                  |          2 |         36 |         13 |          7 |         56 |
| src\renderer\pages                                                                     |         12 |      2,939 |         37 |        189 |      3,165 |
| src\renderer\providers                                                                 |          1 |         79 |         12 |         11 |        102 |
| src\renderer\stores                                                                    |          7 |        514 |         58 |         68 |        640 |
| src\renderer\styles                                                                    |          1 |        244 |         39 |         33 |        316 |
| src\shared                                                                             |         47 |      2,716 |        342 |        328 |      3,386 |
| src\shared\constants                                                                   |          7 |        686 |         41 |         33 |        760 |
| src\shared\ipc                                                                         |          4 |         45 |         24 |         12 |         81 |
| src\shared\schemas                                                                     |         10 |        446 |          4 |         53 |        503 |
| src\shared\types                                                                       |         18 |        699 |        166 |        124 |        989 |
| src\shared\utils                                                                       |          8 |        840 |        107 |        106 |      1,053 |
| tests                                                                                  |         13 |        515 |         26 |         98 |        639 |
| tests\e2e                                                                              |          1 |         40 |          5 |         10 |         55 |
| tests\integration                                                                      |          1 |         23 |          0 |          5 |         28 |
| tests\setup                                                                            |          1 |         32 |          4 |          6 |         42 |
| tests\unit                                                                             |         10 |        420 |         17 |         77 |        514 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\chris\Desktop\dandilion\.claude\rules\challenge-request.md                    | Markdown           |         12 |          0 |          7 |         19 |
| c:\Users\chris\Desktop\dandilion\.claude\rules\mandatory-review.md                     | Markdown           |         34 |          0 |         13 |         47 |
| c:\Users\chris\Desktop\dandilion\.claude\rules\no-assumptions.md                       | Markdown           |        100 |          0 |         62 |        162 |
| c:\Users\chris\Desktop\dandilion\.claude\settings.json                                 | JSON with Comments |         26 |          0 |          1 |         27 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\architecture\SKILL.md                  | Skill              |        304 |          0 |        292 |        596 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\browser-internals\SKILL.md             | Skill              |        380 |          0 |        376 |        756 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\debugging\SKILL.md                     | Skill              |        322 |          0 |        313 |        635 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\electron\SKILL.md                      | Skill              |        341 |          0 |        309 |        650 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\performance\SKILL.md                   | Skill              |        322 |          0 |        305 |        627 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\review\SKILL.md                        | Skill              |        347 |          0 |        336 |        683 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\security\SKILL.md                      | Skill              |        380 |          0 |        368 |        748 |
| c:\Users\chris\Desktop\dandilion\.claude\skills\state-management\SKILL.md              | Skill              |        285 |          0 |        279 |        564 |
